"BioClimVar","Sys ID","CEC ID","Time_Frame_ID","Statistic.x","Value","SourceData","ScoreDate","X","ecoregion","NS.Map.Value.code","system_name","SqKM_system_ecoregion","type","ELCODE","ELSF_CD","BPS_area_system_sq_KM","percent_of_Total_Distribution","Statistic.y","Percent_ecoregion_affected","Bioclim.Variable","Units"
"bio1",722966,"8.2.2",1,"mean zscore",1.82,"MACA_45_CEMML","3/28/2021",152,"Huron/Erie Lake Plains",7313,"North_Central_Interior_Beech_Maple_Forest_",9778.0851,"North Central Interior Beech Maple Forest ","CES202.693",4119,83328.2964,0.1173,"percent area",100,"Annual Mean Temperature","C"
"bio1",722966,"8.2.2",1,"mean",9.86,"MACA_45_CEMML","3/28/2021",152,"Huron/Erie Lake Plains",7313,"North_Central_Interior_Beech_Maple_Forest_",9778.0851,"North Central Interior Beech Maple Forest ","CES202.693",4119,83328.2964,0.1173,"percent area",100,"Annual Mean Temperature","C"
"bio1",722966,"8.2.2",1,"min delta",1.41,"MACA_45_CEMML","3/28/2021",152,"Huron/Erie Lake Plains",7313,"North_Central_Interior_Beech_Maple_Forest_",9778.0851,"North Central Interior Beech Maple Forest ","CES202.693",4119,83328.2964,0.1173,"percent area",100,"Annual Mean Temperature","C"
"bio1",722966,"8.2.2",1,"max delta",1.64,"MACA_45_CEMML","3/28/2021",152,"Huron/Erie Lake Plains",7313,"North_Central_Interior_Beech_Maple_Forest_",9778.0851,"North Central Interior Beech Maple Forest ","CES202.693",4119,83328.2964,0.1173,"percent area",100,"Annual Mean Temperature","C"
"bio1",722976,"9.3.3",1,"min delta",1.55,"MACA_45_CEMML","3/28/2021",255,"Northwestern Great Plains",7421,"Central_Tallgrass_Prairie",338.9526,"Central Tallgrass Prairie","CES205.683",7134,241651.1556,0.0014,"percent area",100,"Annual Mean Temperature","C"
"bio1",722895,"13.1.1",1,"mean delta",1.66,"MACA_45_CEMML","3/28/2021",10,"Arizona/New Mexico Mountains",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",1912.3533,"Inter Mountain Basins Big Sagebrush Shrubland","CES304.777",5257,282536.1486,0.0068,"percent area",100,"Annual Mean Temperature","C"
"bio1",722895,"13.1.1",1,"mean",10.81,"MACA_45_CEMML","3/28/2021",10,"Arizona/New Mexico Mountains",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",1912.3533,"Inter Mountain Basins Big Sagebrush Shrubland","CES304.777",5257,282536.1486,0.0068,"percent area",100,"Annual Mean Temperature","C"
"bio1",722895,"13.1.1",1,"max delta",1.79,"MACA_45_CEMML","3/28/2021",10,"Arizona/New Mexico Mountains",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",1912.3533,"Inter Mountain Basins Big Sagebrush Shrubland","CES304.777",5257,282536.1486,0.0068,"percent area",100,"Annual Mean Temperature","C"
"bio1",722895,"13.1.1",1,"mean zscore",1.89,"MACA_45_CEMML","3/28/2021",10,"Arizona/New Mexico Mountains",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",1912.3533,"Inter Mountain Basins Big Sagebrush Shrubland","CES304.777",5257,282536.1486,0.0068,"percent area",100,"Annual Mean Temperature","C"
"bio1",722895,"13.1.1",1,"min delta",1.56,"MACA_45_CEMML","3/28/2021",10,"Arizona/New Mexico Mountains",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",1912.3533,"Inter Mountain Basins Big Sagebrush Shrubland","CES304.777",5257,282536.1486,0.0068,"percent area",100,"Annual Mean Temperature","C"
"bio1",722894,"9.3.1",1,"mean delta",1.58,"MACA_45_CEMML","3/28/2021",246,"Northwestern Glaciated Plains",7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",5542.7247,"Inter Mountain Basins Big Sagebrush Steppe","CES304.778",5454,181241.4852,0.0306,"percent area",100,"Annual Mean Temperature","C"
"bio1",722894,"9.3.1",1,"max delta",1.68,"MACA_45_CEMML","3/28/2021",246,"Northwestern Glaciated Plains",7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",5542.7247,"Inter Mountain Basins Big Sagebrush Steppe","CES304.778",5454,181241.4852,0.0306,"percent area",100,"Annual Mean Temperature","C"
"bio1",722894,"9.3.1",1,"min delta",1.53,"MACA_45_CEMML","3/28/2021",246,"Northwestern Glaciated Plains",7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",5542.7247,"Inter Mountain Basins Big Sagebrush Steppe","CES304.778",5454,181241.4852,0.0306,"percent area",100,"Annual Mean Temperature","C"
"bio1",722894,"9.3.1",1,"mean",7.09,"MACA_45_CEMML","3/28/2021",246,"Northwestern Glaciated Plains",7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",5542.7247,"Inter Mountain Basins Big Sagebrush Steppe","CES304.778",5454,181241.4852,0.0306,"percent area",100,"Annual Mean Temperature","C"
"bio1",722894,"9.3.1",1,"mean zscore",1.94,"MACA_45_CEMML","3/28/2021",246,"Northwestern Glaciated Plains",7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",5542.7247,"Inter Mountain Basins Big Sagebrush Steppe","CES304.778",5454,181241.4852,0.0306,"percent area",100,"Annual Mean Temperature","C"
"bio1",722895,"6.2.12",1,"mean",8.6,"MACA_45_CEMML","3/28/2021",272,"Sierra Nevada",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",464.3973,"Inter Mountain Basins Big Sagebrush Shrubland","CES304.777",5257,282536.1486,0.0016,"percent area",100,"Annual Mean Temperature","C"
"bio1",722896,"10.1.3",1,"max delta",2.13,"MACA_45_CEMML","3/28/2021",229,"Northern Basin and Range",7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",818.1081,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","CES304.776",4302,27965.5092,0.0293,"percent area",100,"Annual Mean Temperature","C"
"bio1",722896,"10.1.3",1,"mean delta",1.99,"MACA_45_CEMML","3/28/2021",229,"Northern Basin and Range",7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",818.1081,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","CES304.776",4302,27965.5092,0.0293,"percent area",100,"Annual Mean Temperature","C"
"bio1",722896,"10.1.3",1,"mean zscore",2.6,"MACA_45_CEMML","3/28/2021",229,"Northern Basin and Range",7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",818.1081,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","CES304.776",4302,27965.5092,0.0293,"percent area",100,"Annual Mean Temperature","C"
"bio1",722896,"10.1.3",1,"mean",6.28,"MACA_45_CEMML","3/28/2021",229,"Northern Basin and Range",7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",818.1081,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","CES304.776",4302,27965.5092,0.0293,"percent area",100,"Annual Mean Temperature","C"
"bio1",722896,"10.1.3",1,"min delta",1.74,"MACA_45_CEMML","3/28/2021",229,"Northern Basin and Range",7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",818.1081,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","CES304.776",4302,27965.5092,0.0293,"percent area",100,"Annual Mean Temperature","C"
"bio1",722953,"8.5.2",1,"mean",16,"MACA_45_CEMML","3/28/2021",200,"Mississippi Alluvial Plain",7364,"Ozark_Ouachita_Dry_Oak_Woodland",377.9784,"Ozark Ouachita Dry Oak Woodland","CES202.707",4306,58336.0137,0.0065,"percent area",100,"Annual Mean Temperature","C"
"bio1",722953,"8.5.2",1,"mean zscore",1.5,"MACA_45_CEMML","3/28/2021",200,"Mississippi Alluvial Plain",7364,"Ozark_Ouachita_Dry_Oak_Woodland",377.9784,"Ozark Ouachita Dry Oak Woodland","CES202.707",4306,58336.0137,0.0065,"percent area",100,"Annual Mean Temperature","C"
"bio1",722855,"10.1.6",1,"min delta",1.69,"MACA_45_CEMML","3/28/2021",97,"Colorado Plateaus",7107,"Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",5005.6947,"Rocky Mountain Gambel Oak Mixed Montane Shrubland","CES306.818",5313,19905.7419,0.2515,"percent area",100,"Annual Mean Temperature","C"
"bio1",722855,"10.1.6",1,"mean delta",1.86,"MACA_45_CEMML","3/28/2021",97,"Colorado Plateaus",7107,"Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",5005.6947,"Rocky Mountain Gambel Oak Mixed Montane Shrubland","CES306.818",5313,19905.7419,0.2515,"percent area",100,"Annual Mean Temperature","C"
"bio1",722855,"10.1.6",1,"max delta",2.11,"MACA_45_CEMML","3/28/2021",97,"Colorado Plateaus",7107,"Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",5005.6947,"Rocky Mountain Gambel Oak Mixed Montane Shrubland","CES306.818",5313,19905.7419,0.2515,"percent area",100,"Annual Mean Temperature","C"
"bio1",722888,"10.1.7",1,"mean delta",1.68,"MACA_45_CEMML","3/28/2021",24,"Arizona/New Mexico Plateau",7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",21799.2708,"Inter Mountain Basins Mixed Salt Desert Scrub","CES304.784",5258,96871.1967,0.225,"percent area",100,"Annual Mean Temperature","C"
"bio1",722888,"10.1.7",1,"mean",11.26,"MACA_45_CEMML","3/28/2021",24,"Arizona/New Mexico Plateau",7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",21799.2708,"Inter Mountain Basins Mixed Salt Desert Scrub","CES304.784",5258,96871.1967,0.225,"percent area",100,"Annual Mean Temperature","C"
"bio1",722888,"10.1.7",1,"max delta",1.77,"MACA_45_CEMML","3/28/2021",24,"Arizona/New Mexico Plateau",7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",21799.2708,"Inter Mountain Basins Mixed Salt Desert Scrub","CES304.784",5258,96871.1967,0.225,"percent area",100,"Annual Mean Temperature","C"
"bio1",722887,"10.1.8",1,"mean",7.12,"MACA_45_CEMML","3/28/2021",279,"Snake River Plain",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",4265.2818,"Inter Mountain Basins Montane Sagebrush Steppe","CES304.785",5455,85442.3397,0.0499,"percent area",100,"Annual Mean Temperature","C"
"bio1",722887,"10.1.8",1,"mean zscore",2.64,"MACA_45_CEMML","3/28/2021",279,"Snake River Plain",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",4265.2818,"Inter Mountain Basins Montane Sagebrush Steppe","CES304.785",5455,85442.3397,0.0499,"percent area",100,"Annual Mean Temperature","C"
"bio1",722887,"10.1.8",1,"max delta",2.16,"MACA_45_CEMML","3/28/2021",279,"Snake River Plain",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",4265.2818,"Inter Mountain Basins Montane Sagebrush Steppe","CES304.785",5455,85442.3397,0.0499,"percent area",100,"Annual Mean Temperature","C"
"bio1",722887,"10.1.8",1,"min delta",1.67,"MACA_45_CEMML","3/28/2021",279,"Snake River Plain",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",4265.2818,"Inter Mountain Basins Montane Sagebrush Steppe","CES304.785",5455,85442.3397,0.0499,"percent area",100,"Annual Mean Temperature","C"
"bio1",722887,"10.1.8",1,"mean delta",1.92,"MACA_45_CEMML","3/28/2021",279,"Snake River Plain",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",4265.2818,"Inter Mountain Basins Montane Sagebrush Steppe","CES304.785",5455,85442.3397,0.0499,"percent area",100,"Annual Mean Temperature","C"
"bio1",722663,"8.1.1",1,"mean zscore",1.97,"MACA_45_CEMML","3/28/2021",130,"Eastern Great Lakes and Hudson Lowlands",7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",261.8649,"North Central Interior Dry Mesic Oak Forest and Woodland","CES202.046",4116,141605.9334,0.0018,"percent area",100,"Annual Mean Temperature","C"
"bio1",722663,"8.1.1",1,"mean",10.21,"MACA_45_CEMML","3/28/2021",130,"Eastern Great Lakes and Hudson Lowlands",7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",261.8649,"North Central Interior Dry Mesic Oak Forest and Woodland","CES202.046",4116,141605.9334,0.0018,"percent area",100,"Annual Mean Temperature","C"
"bio1",722663,"8.1.1",1,"mean delta",1.4,"MACA_45_CEMML","3/28/2021",130,"Eastern Great Lakes and Hudson Lowlands",7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",261.8649,"North Central Interior Dry Mesic Oak Forest and Woodland","CES202.046",4116,141605.9334,0.0018,"percent area",100,"Annual Mean Temperature","C"
"bio1",722663,"8.1.1",1,"max delta",1.45,"MACA_45_CEMML","3/28/2021",130,"Eastern Great Lakes and Hudson Lowlands",7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",261.8649,"North Central Interior Dry Mesic Oak Forest and Woodland","CES202.046",4116,141605.9334,0.0018,"percent area",100,"Annual Mean Temperature","C"
"bio1",722663,"8.1.1",1,"min delta",1.36,"MACA_45_CEMML","3/28/2021",130,"Eastern Great Lakes and Hudson Lowlands",7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",261.8649,"North Central Interior Dry Mesic Oak Forest and Woodland","CES202.046",4116,141605.9334,0.0018,"percent area",100,"Annual Mean Temperature","C"
"bio1",797980,"13.1.1",1,"mean zscore",1.86,"MACA_45_CEMML","3/28/2021",4,"Arizona/New Mexico Mountains",7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",19014.4341,"Southern Rocky Mountain Ponderosa Pine Woodland","CES306.648",4241,38899.4481,0.4888,"percent area",100,"Annual Mean Temperature","C"
"bio1",797980,"13.1.1",1,"mean",9.68,"MACA_45_CEMML","3/28/2021",4,"Arizona/New Mexico Mountains",7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",19014.4341,"Southern Rocky Mountain Ponderosa Pine Woodland","CES306.648",4241,38899.4481,0.4888,"percent area",100,"Annual Mean Temperature","C"
"bio1",797980,"13.1.1",1,"max delta",1.79,"MACA_45_CEMML","3/28/2021",4,"Arizona/New Mexico Mountains",7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",19014.4341,"Southern Rocky Mountain Ponderosa Pine Woodland","CES306.648",4241,38899.4481,0.4888,"percent area",100,"Annual Mean Temperature","C"
"bio1",797980,"13.1.1",1,"min delta",1.54,"MACA_45_CEMML","3/28/2021",4,"Arizona/New Mexico Mountains",7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",19014.4341,"Southern Rocky Mountain Ponderosa Pine Woodland","CES306.648",4241,38899.4481,0.4888,"percent area",100,"Annual Mean Temperature","C"
"bio1",797980,"13.1.1",1,"mean delta",1.65,"MACA_45_CEMML","3/28/2021",4,"Arizona/New Mexico Mountains",7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",19014.4341,"Southern Rocky Mountain Ponderosa Pine Woodland","CES306.648",4241,38899.4481,0.4888,"percent area",100,"Annual Mean Temperature","C"
"bio1",722848,"10.1.6",1,"min delta",1.72,"MACA_45_CEMML","3/28/2021",89,"Colorado Plateaus",7052,"Southern_Rocky_Mountain_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",361.0494,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","CES306.825",4239,8992.6605,0.0401,"percent area",100,"Annual Mean Temperature","C"
"bio1",722848,"10.1.6",1,"max delta",2.08,"MACA_45_CEMML","3/28/2021",89,"Colorado Plateaus",7052,"Southern_Rocky_Mountain_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",361.0494,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","CES306.825",4239,8992.6605,0.0401,"percent area",100,"Annual Mean Temperature","C"
"bio1",722899,"10.1.5",1,"mean zscore",2.39,"MACA_45_CEMML","3/28/2021",56,"Central Basin and Range",7019,"Great_Basin_Pinyon_Juniper_Woodland",17807.2425,"Great Basin Pinyon Juniper Woodland","CES304.773",4206,22745.7234,0.7829,"percent area",100,"Annual Mean Temperature","C"
"bio1",722899,"10.1.5",1,"max delta",2.11,"MACA_45_CEMML","3/28/2021",56,"Central Basin and Range",7019,"Great_Basin_Pinyon_Juniper_Woodland",17807.2425,"Great Basin Pinyon Juniper Woodland","CES304.773",4206,22745.7234,0.7829,"percent area",100,"Annual Mean Temperature","C"
"bio1",722887,"9.3.3",1,"min delta",1.54,"MACA_45_CEMML","3/28/2021",262,"Northwestern Great Plains",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",2835.8991,"Inter Mountain Basins Montane Sagebrush Steppe","CES304.785",5455,85442.3397,0.0332,"percent area",100,"Annual Mean Temperature","C"
"bio1",722887,"9.3.3",1,"mean",7.37,"MACA_45_CEMML","3/28/2021",262,"Northwestern Great Plains",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",2835.8991,"Inter Mountain Basins Montane Sagebrush Steppe","CES304.785",5455,85442.3397,0.0332,"percent area",100,"Annual Mean Temperature","C"
"bio1",722887,"9.3.3",1,"max delta",1.8,"MACA_45_CEMML","3/28/2021",262,"Northwestern Great Plains",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",2835.8991,"Inter Mountain Basins Montane Sagebrush Steppe","CES304.785",5455,85442.3397,0.0332,"percent area",100,"Annual Mean Temperature","C"
"bio1",722887,"10.1.2",1,"mean",9.36,"MACA_45_CEMML","3/28/2021",108,"Columbia Plateau",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",1773.0009,"Inter Mountain Basins Montane Sagebrush Steppe","CES304.785",5455,85442.3397,0.0208,"percent area",100,"Annual Mean Temperature","C"
"bio1",722849,"13.1.1",1,"min delta",1.57,"MACA_45_CEMML","3/28/2021",11,"Arizona/New Mexico Mountains",7146,"Southern_Rocky_Mountain_Montane_Subalpine_Grassland",852.93,"Southern Rocky Mountain Montane Subalpine Grassland","CES306.824",7119,3086.9586,0.2763,"percent area",100,"Annual Mean Temperature","C"
"bio1",722849,"13.1.1",1,"max delta",1.78,"MACA_45_CEMML","3/28/2021",11,"Arizona/New Mexico Mountains",7146,"Southern_Rocky_Mountain_Montane_Subalpine_Grassland",852.93,"Southern Rocky Mountain Montane Subalpine Grassland","CES306.824",7119,3086.9586,0.2763,"percent area",100,"Annual Mean Temperature","C"
"bio1",722966,"8.2.3",1,"mean delta",1.48,"MACA_45_CEMML","3/28/2021",70,"Central Corn Belt Plains",7313,"North_Central_Interior_Beech_Maple_Forest_",60.6852,"North Central Interior Beech Maple Forest ","CES202.693",4119,83328.2964,7e-04,"percent area",100,"Annual Mean Temperature","C"
"bio1",722966,"8.2.3",1,"mean",11.04,"MACA_45_CEMML","3/28/2021",70,"Central Corn Belt Plains",7313,"North_Central_Interior_Beech_Maple_Forest_",60.6852,"North Central Interior Beech Maple Forest ","CES202.693",4119,83328.2964,7e-04,"percent area",100,"Annual Mean Temperature","C"
"bio1",722966,"8.2.3",1,"max delta",1.55,"MACA_45_CEMML","3/28/2021",70,"Central Corn Belt Plains",7313,"North_Central_Interior_Beech_Maple_Forest_",60.6852,"North Central Interior Beech Maple Forest ","CES202.693",4119,83328.2964,7e-04,"percent area",100,"Annual Mean Temperature","C"
"bio1",722966,"8.2.3",1,"min delta",1.43,"MACA_45_CEMML","3/28/2021",70,"Central Corn Belt Plains",7313,"North_Central_Interior_Beech_Maple_Forest_",60.6852,"North Central Interior Beech Maple Forest ","CES202.693",4119,83328.2964,7e-04,"percent area",100,"Annual Mean Temperature","C"
"bio1",722966,"8.2.3",1,"mean zscore",1.57,"MACA_45_CEMML","3/28/2021",70,"Central Corn Belt Plains",7313,"North_Central_Interior_Beech_Maple_Forest_",60.6852,"North Central Interior Beech Maple Forest ","CES202.693",4119,83328.2964,7e-04,"percent area",100,"Annual Mean Temperature","C"
"bio1",722887,"6.2.15",1,"max delta",2.12,"MACA_45_CEMML","3/28/2021",158,"Idaho Batholith",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",5784.7527,"Inter Mountain Basins Montane Sagebrush Steppe","CES304.785",5455,85442.3397,0.0677,"percent area",100,"Annual Mean Temperature","C"
"bio1",722888,"6.2.14",1,"max delta",1.84,"MACA_45_CEMML","3/28/2021",306,"Southern Rockies",7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",212.3982,"Inter Mountain Basins Mixed Salt Desert Scrub","CES304.784",5258,96871.1967,0.0022,"percent area",100,"Annual Mean Temperature","C"
